# 42 個地圖區塊的字串表
# 機器產生，不要手改（tools/extract_strings.py）
blk:game1:0:1	\x0DEntering Quartz.\x0D
blk:game1:6:65	"You killed my brother!" says an identically marked man. "You're gonna regret it."\x0D
blk:game1:6:66	\x0DRead paragraph 147.\x0D
blk:game1:6:67	\x0DYou can easily see that these men, both with a large strawberry birthmark, are twins.\x0D
blk:game1:6:68	\x0DRead paragraph 155.\x0D
blk:game1:6:69	\x0DYou hear harsh voices beyond the door, and someone moaning.\x0D
blk:game1:6:70	\x0DA dead man, the victim of torture, is tied to a chair.\x0D
blk:game1:6:71	\x0DA tortured and dying man is sitting in the chair. He needs a drink fast.\x0D
blk:game1:6:72	\x0DHe is recovering. He blinks and opens his eyes. "Thank you," he says.\x0D
blk:game1:6:73	\x0DYour efforts are not helping him.\x0D
blk:game1:6:74	\x0DThe hardship was too much. The man coughs and dies.\x0D
blk:game1:6:75	\x0D"I am Danny Citrine. The triplets wanted our cash. Dad and I hid it under their noses."\x0D
blk:game1:6:76	\x0D"I see you've rescued Mayor Pedros, I will help you get him out of here if you wish."\x0D
blk:game1:6:77	\x0D"Let me help you to rescue the mayor. Let me lead you back to the cell and the guards will let us go on by."\x0D
blk:game1:6:78	"Taking Danny back to his cell? Go on. It's down there."\x0D
blk:game1:6:79	\x0DOne scratches his dirty chin and decides that discretion is the better part of valor. "Well don't stop, keep moving."\x0D
blk:game1:6:80	"Do you know today's password?"\x0D
blk:game1:6:81	\x0DYou are at the top floor. Vines on the south wall are the only way down.\x0D
blk:game1:6:82	\x0DA sign hangs from the ceiling by rusty chains. Quartz City Jail.\x0D
blk:game1:6:83	\x0DA faded wall poster says, "Do yourself a favor and stay clean!"\x0D
blk:game1:6:84	\x0DThe outlaw nods as he leaves. About time he was taken back to his cell.\x0D
blk:game1:6:85	\x0DThe outlaw grunts as he leaves. "You look like you know what is what. Not my problem."\x0D
blk:game1:6:86	\x0DOthers come running at the sound of fighting.\x0D
blk:game1:6:87	\x0DThe door is locked.\x0D
blk:game1:6:88	From a dark corner attacks...\x0D
blk:game1:6:89	\x0DYou see meeting rooms through the glass. You can climb up but not down. Vines on the south wall indicate a way down.\x0D
blk:game1:6:90	\x0DRead paragraph 49.\x0D
blk:game1:6:91	\x0DThere are drawers here.\x0D
blk:game1:6:92	\x0DYou open the drawers and see...\x0D
blk:game1:6:93	\x0DThis drawer is empty.\x0D
blk:game1:6:94	You interrupt a very serious game of poker.\x0D
blk:game1:6:95	\x0D"C'mon, let's go."\x0D
blk:game1:6:96	\x0D"Thank you for rescuing me."\x0D
blk:game1:6:97	"Hi. I'm Danny Citrine."\x0D
blk:game1:6:98	"Hi. I'm Mayor Pedros. Please rescue me."\x0D
blk:game1:6:99	\x0DThe cell is locked.\x0D
blk:game1:6:100	\x0DGraffiti on the wall here says "Darwin = Proteus."\x0D
blk:game1:6:101	\x0DYou open the cell.\x0D
blk:game1:6:102	\x0DThe cell is still locked.\x0D
blk:game1:6:103	Watch out! This guy is nuts.\x0D
blk:game1:6:104	\x0DA man leaps out of the bed.\x0D
blk:game1:6:105	\x0DHe sees Danny and says, "Thanks for rescuing me, son. Here's the money. I must run now."\x0D
blk:game1:6:106	\x0DBefore you can react, he runs out of the cell.\x0D
blk:game1:6:107	\x0DYou open the cell and set off an alarm. Uh oh!\x0D
blk:game1:6:108	The gunsels go for their pistols. They look like they can use them!\x0D
blk:game1:6:109	The scruffy guard dogs attack. Their knife wielding masters close behind.\x0D
blk:game1:6:110	The outlaws grab their pistols.\x0D
blk:game1:6:111	You hear the cocking of a rifle. The rifleman is waiting to blow you away.\x0D
blk:game1:6:112	\x0DThe outlaws look baffled, glancing uncertainly at each other.\x0D
blk:game1:6:113	\x0D"Boy, he is giving himself airs!" one of them says. "Go on in, but it better be important!"\x0D
blk:game1:6:114	\x0DOne short scruffy man growls, "I don't know what yer doin, but it ain't gonna work."\x0D
blk:game1:6:115	\x0DThis is a plain wall, quite sturdy although stained and dirty.\x0D
blk:game1:6:116	\x0DSTAY off the bench.\x0D
blk:game1:6:117	The noise brings gang members out of the woodwork. More thugs to shoot at you.\x0D
blk:game1:6:118	Slavering, hungry, iron jawed dogs bound toward you. You're a bag of dog chow in their eyes!\x0D
blk:game1:6:119	\x0DThis is a rock wall. You can't climb here.\x0D
blk:game1:6:120	\x0DThe guards let you pass.\x0D
blk:game1:6:121	\x0DFortunately, no one hears you.\x0D
blk:game1:6:122	An angry voice shouts from the atrium, "Whaddya think you're doing there?"\x0D
blk:game1:6:123	\x0D"Hey! What are you doing in here?"\x0D
blk:game1:6:124	\x0DYou climb successfully.\x0D
blk:game1:6:125	\x0DYou slip and fall, hurting yourself.\x0D
blk:game1:6:126	\x0DYou see a couple of thugs in the hall staring at you.\x0D
blk:game1:6:127	\x0DThey are suspicious of you.\x0D
blk:game1:6:128	\x0D"Come here, Pigface. We got trouble!"\x0D
blk:game1:6:129	\x0DYour recruit says, "I bet we could break the glass and climb down the plants."\x0D
blk:game1:6:130	\x0DA fat guy locks the door and looks curiously at you.\x0D
blk:game1:6:131	\x0DHe shrugs and unlocks the door.\x0D
blk:game1:6:132	\x0D"Whaddya think yer doing here?"\x0D
blk:game1:6:133	\x0B attacks
blk:game1:6:134	\x0B triggers
blk:game1:6:135	\x0B's gun lets fly
blk:game1:6:136	Bright energy streams from \x0B
blk:game1:6:137	\x0B burns a clip
blk:game1:6:138	\x0B chucks an explosive charge
blk:game1:6:139	\x0B fires a rocket
blk:game1:6:140	hits \x0F 
blk:game1:6:141	 for 
blk:game1:6:142	nails \x0F 
blk:game1:6:143	\x0F 
blk:game1:6:144	 \x0Ais\x0Aare\x0A stitched full of bullets for 
blk:game1:6:145	bores through \x0F 
blk:game1:6:146	punches a hole in \x0F 
blk:game1:6:147	incinerates \x0F 
blk:game1:6:148	 but fail\x0As\x0A\x0A to inflict any damage
blk:game1:6:149	 drills 
blk:game1:6:150	 blazes away at 
blk:game1:6:151	 sprays 
blk:game1:6:152	 triggers a burst at 
blk:game1:6:153	 fries 
blk:game1:6:154	 toasts 
blk:game1:6:155	 and hits for 
blk:game1:6:156	 batter\x0As\x0A\x0A 
blk:game1:6:157	 wallop\x0As\x0A\x0A 
blk:game1:6:158	 claws 
blk:game1:6:159	 bashes 
blk:game1:6:160	 whomps on 
blk:game1:6:161	 pounds at 
blk:game1:6:162	 and rips \x0Ehim\x0Eher\x0Eit\x0E to shreds
blk:game1:6:163	 and frags \x0Ehim\x0Eher\x0Eit\x0E
blk:game1:6:164	 ripping \x0A\x0Ehim\x0Eher\x0Eit\x0E\x0A\x0F of them\x0A into a scarlet side of meat
blk:game1:6:165	 reducing \x0A\x0Ehim\x0Eher\x0Eit\x0E\x0A\x0F of them\x0A into ground round
blk:game2:7:1	\x0DStainless steel corridors extend into the darkness.\x0D
blk:game2:7:2	\x0DThe door is a steel bulkhead, but looks as if it could be forced.\x0D
blk:game2:7:3	\x0DThe door slides up into the ceiling.\x0D
blk:game2:7:4	\x0DThe door defies your best efforts to open it.\x0D
blk:game2:7:5	\x0DThis room is in complete disarray and cluttered with piles of debris.\x0D
blk:game2:7:6	\x0DThe debris is a collection of odds and ends -- mostly useless stuff.\x0D
blk:game2:7:7	\x0DStill, you think there might be something of use, so you take a closer look...\x0D
blk:game2:7:8	\x0DA closer search produces nothing of value for you.\x0D
blk:game2:7:9	Low growls rumble from the corner and you are attacked!\x0D
blk:game2:7:10	\x0DThe door has no handle or sign on it, just a narrow slot on the right side.\x0D
blk:game2:7:11	\x0DYou look up from your search and see the outline of a door in the west wall.\x0D
blk:game2:7:12	\x0DYou have found a weapons locker, but it is tightly closed up.\x0D
blk:game2:7:13	\x0DYou force it open and discover...\x0D
blk:game2:7:14	\x0DThe locker defies your best attempts to open it.\x0D
blk:game2:7:15	\x0DYou see a shining object jammed into a narrow crevasse between the wall and a ceiling support.\x0D
blk:game2:7:16	\x0DYou reach your hand in and feel something smooth, metallic and cool to the touch.\x0D
blk:game2:7:17	\x0DYou reach in and misjudge the distance, knocking the item in deeper.\x0D
blk:game2:7:18	\x0DYou hold on despite some grinding and shifting in the wall and find...\x0D
blk:game2:7:19	\x0DAs you tug the item free something in the wall gives way.\x0D
blk:game2:7:20	\x0DYou get your hand out just in time and find...\x0D
blk:game2:7:21	\x0DA wall support lands heavily on your arm and pain shoots up into your head...\x0D
blk:game2:7:22	\x0DYou reach in and grab the item, but pulling it free dislodges things inside the wall...\x0D
blk:game2:7:23	Something, the sound of metal on metal, grinds in the darkness...\x0D
blk:game2:7:24	\x0DYou have found a set of books entitled "Everything you always wanted to know about Clone Chemical Preparations."\x0D
blk:game2:7:25	\x0DThis library has seen better days. It is a ruin, with piles of books stacked everywhere.\x0D
blk:game2:7:26	You did not notice them until you almost stepped on them. Suddenly you are attacked!\x0D
blk:game2:7:27	A ladder is here.\x0D\x0D\x11\x101) Remain on lvl 1.\x0D\x102) Climb down to lvl 2.\x0D\x103) Climb down to lvl 3.\x0D
blk:game2:7:28	1
blk:game2:7:29	2
blk:game2:7:30	3
blk:game2:7:31	4
blk:game2:7:32	\x07You look at the book.\x0D
blk:game2:7:33	\x0DOUCH!\x0D
blk:game2:7:34	\x0DBAM!\x0D
blk:game2:7:35	\x0DKAPOW!\x0D
blk:game2:7:36	\x0B attacks
blk:game2:7:37	\x0B snaps a shot off
blk:game2:7:38	\x0B's gun spits lead
blk:game2:7:39	Bright energy streams from \x0B
blk:game2:7:40	\x0B empties a clip
blk:game2:7:41	\x0B hurls a handful of death
blk:game2:7:42	\x0B blasts a rocket off
blk:game2:7:43	hits \x0F 
blk:game2:7:44	 for 
blk:game2:7:45	hits \x0F 
blk:game2:7:46	\x0F 
blk:game2:7:47	 \x0Ais\x0Aare\x0A stitched full of bullets for 
blk:game2:7:48	melts into \x0F 
blk:game2:7:49	punches a hole in \x0F 
blk:game2:7:50	immolates \x0F 
blk:game2:7:51	 but fail\x0As\x0A\x0A to inflict any damage
blk:game2:7:52	 drills 
blk:game2:7:53	 blazes away at 
blk:game2:7:54	 sprays 
blk:game2:7:55	 triggers a burst at 
blk:game2:7:56	 fries 
blk:game2:7:57	 toasts 
blk:game2:7:58	 and hits for 
blk:game2:7:59	 wallop\x0As\x0A\x0A 
blk:game2:7:60	 brutally pummel\x0As\x0A\x0A 
blk:game2:7:61	 pounds 
blk:game2:7:62	 thrashes 
blk:game2:7:63	 pounces on 
blk:game2:7:64	 whomps on 
blk:game2:7:65	 and peppers \x0Ehim\x0Eher\x0Eit\x0E
blk:game2:7:66	 and shreds \x0Ehim\x0Eher\x0Eit\x0E
blk:game2:7:67	 spinning \x0A\x0Ehim\x0Eher\x0Eit\x0E\x0A\x0F of them\x0A into a dance of death
blk:game2:7:68	 sending \x0A\x0Ehim\x0Eher\x0Eit\x0E\x0A\x0F of them\x0A to meet \x0A\x0Ehis\x0Eher\x0Eits\x0E\x0Atheir\x0A maker
blk:game1:8:1	\x0DRead paragraph 2.\x0D
blk:game1:8:2	\x0DLeaving Nomads.\x0D
blk:game1:8:3	\x0D"What?"\x0D
blk:game1:8:4	This is a $10 slot machine. Try your luck?\x0D\x0D\x11\x10Yes\x0D\x10No\x0D
blk:game1:8:5	\x0D"Stop bothering me now!"\x0D
blk:game1:8:6	\x0DEntering The Trading Car\x0D
blk:game1:8:7	LADYBUG
blk:game1:8:8	LIZARD
blk:game1:8:9	\x0DRead paragraph 42.\x0D
blk:game1:8:10	\x0DThis hobo looks as if he has passed out from too much snake squeezins.\x0D
blk:game1:8:11	\x0DCaboose.\x0D
blk:game1:8:12	\x0DHobo's Boxcar.\x0D
blk:game1:8:13	\x0DRead paragraph 17.\x0D
blk:game1:8:14	\x0DEmpty Tent Storage Car.\x0D
blk:game1:8:15	\x0DTrading Car.\x0D
blk:game1:8:16	\x0DCasino Car.\x0D
blk:game1:8:17	\x0DLocomotive.\x0D
blk:game1:8:18	\x0DThe engineer gives you a dark look. "I do hope you have not become involved in one of the Brakeman's hare-brained schemes! I warn you, He'll bring you nothing but grief!"\x0D
blk:game1:8:19	\x0D"The Sante Fe are the poorest of the clans, but are generally honest folk."\x0D
blk:game1:8:20	\x0DOuch!\x0D
blk:game1:8:21	\x0DThe Engineer smiles. "The Atchisons," he says, "are a trustworthy and hard working lot. I myself am an Atchison. The Brakeman is too, but I suspect he has some Topekan on his Mother's side."\x0D
blk:game1:8:22	\x0D"We are particularly blessed with our Hobo," says the Engineer. "Not only does he bring much luck and spiritual blessing but he is a renowned oracle and many come from far away to hear his words. Sadly we lost our last hobo when, befuddled by a divine vision, he fell from his car in Needles."\x0D
blk:game1:8:23	\x0DThe engineer shakes his head. "The Topekan clan is rich and powerful. I hesitate to speak against one of our own clans, but I wouldn't trust 'em as far as you could throw 'em."\x0D
blk:game1:8:24	\x0DThe Brakeman meets you at the door of the caboose. He thanks you for heeding his invitation, and he has something for you to deliver to the Head Crusher in Quartz.\x0D
blk:game1:8:25	He asks if you will deliver the message?\x0D\x0D\x11\x10Yes\x0D\x10No\x0D
blk:game1:8:26	Y
blk:game1:8:27	N
blk:game1:8:28	\x0DRead paragraph 54.\x0D
blk:game1:8:29	\x0DThe Brakeman stiffens at your rejection. He coldly thanks you for your time and he returns to the caboose slamming the door behind him.\x0D
blk:game1:8:30	CHAT
blk:game1:8:31	ENGINEER
blk:game1:8:32	\x0DThe engineer looks unhappy. "Unfortunately, we have been burdened by a fool for a Brakeman. He insists on dabbling in arcane matters. He actually suggested that we use an engine instead of cattle to pull the train. The idiot will bring the wrath of the gods down upon us yet!"\x0D
blk:game1:8:33	\x0DSuddenly he notices that you are carrying the sealed crate and he becomes excited. "You've brought it! Set it down and let me examine it!"\x0D
blk:game1:8:34	\x0DRead paragraph 86.\x0D
blk:game1:8:35	CATERPILLAR
blk:game1:8:36	\x0DThe guard looks at you sternly and replies that the Atchison clan has no time for small talk.\x0D
blk:game1:8:37	\x0DRead paragraph 39.\x0D
blk:game1:8:38	\x0DIt's an ambush! Rail thieves burst out of hiding wielding deadly steel pry-bars!\x0D
blk:game1:8:39	ATCHISONS
blk:game1:8:40	\x0D"Greetings, please enter and partake of our hospitality!"\x0D
blk:game1:8:41	\x0DThe guard looks at you sharply, then indicates you should enter the tent.\x0D
blk:game1:8:42	\x0D"Yes, this is the Atchison clan's tent. Please enter and accept our hospitality."\x0D
blk:game1:8:43	\x0DYou find yourself in a splendidly furnished tent. Men, women, children, and elders alike smile and greet you. From behind you hear the guard say, "Welcome to the Topeka Clan ... FOOLS!" At this the entire clan brandishes hidden weapons and attacks en-masse!\x0D
blk:game1:8:44	\x0DRead paragraph 43.\x0D
blk:game1:8:45	\x0DEnter and be enlightened ...HIC... and amazed by the wisdom of the Hobo! HIC ... SNORT... The Hobo beams at you blearily. "Good people, I would like nothing better than to speak to you of things spiritual, but alas I seem to have run short of the ambrosia which inspires my visions!" To demonstrate, the Hobo upends an empty bottle of snake squeezins.\x0D
blk:game1:8:46	\x0DThe Hobo looks somewhat woebegone. "Alas", he says, that is not the inspiration I seek."\x0D
blk:game1:8:47	\x0DRead paragraph 46.\x0D
blk:game1:8:48	\x0DRead paragraph 110.\x0D
blk:game1:8:49	\x0DRead paragraph 156.\x0D
blk:game1:8:50	\x0DRead paragraph 160.\x0D
blk:game1:8:51	\x0DRead paragraph 152.\x0D
blk:game1:8:52	\x0DRead paragraph 117.\x0D
blk:game1:8:53	\x0DRead paragraph 141.\x0D
blk:game1:8:54	\x0DRead paragraph 128.\x0D
blk:game1:8:55	\x0DRead paragraph 3.\x0D
blk:game1:8:56	\x0DRead paragraph 148.\x0D
blk:game1:8:57	\x0DNothing seems to be growing near this cactus.\x0D
blk:game1:8:58	\x0DThe guard has little time to chat and suggests that you waste the engineer's time instead.\x0D
blk:game1:8:59	\x0DThe guard looks at you quizzically, scratches his head, then disapears into the tent. An excited discussion ensues. The guard emerges again looking somewhat enlightened. \x0D
blk:game1:8:60	\x0D"You want the Atchison's tent", he says, pointing to the tent nearest the locomotive.\x0D
blk:game1:8:61	\x0DThud!\x0D
blk:game1:8:62	\x0DYou're annoying the squirrels...\x0D
blk:game1:8:63	\x0DThe rattlesnakes do not appreciate you tromping through their bushes...\x0D
blk:game1:8:64	\x0DHot enough for you?\x0D
blk:game1:8:65	HOBO
blk:game1:8:66	TOPEKANS
blk:game1:8:67	SANTE FE
blk:game1:8:68	BRAKEMAN
blk:game1:8:69	VISA CARD
blk:game1:8:70	\x0DRead paragraph 28.\x0D
blk:game1:8:71	\x0DThe hobo looks at you expectantly...\x0D
blk:game1:8:72	The guard stops you at the entrance to the tent and requests that you state your business.\x0D
blk:game1:8:73	\x0DThis tent is made of asbestos and looks very strong.\x0D
blk:game1:8:74	The engineer smiles and asks how he may be of assistance.\x0D
blk:game1:8:75	\x07The Trading Car\x0D
blk:game1:8:76	\x0DSorry, you don't have enough money to play.\x0D
blk:game1:8:77	\x0DRound and round and round she goes. Where she'll stop, nobody knows.\x0D
blk:game1:8:78	\x0DYou hear the sound of coins dropping into the slot machine's tray.\x0D
blk:game1:8:79	\x0DThe one-armed bandit strikes again! You lose.\x0D
blk:game1:8:80	What's that behind you?\x0D
blk:game1:8:81	"Hey, get outta here."\x0D
blk:game1:8:82	"What are ya lookin' at?"\x0D
blk:game1:8:83	"I am a Topekan."\x0D
blk:game1:8:84	Children attack, too.\x0D
blk:game1:8:85	A pistol packing baby topekan attacks.\x0D
blk:game1:8:86	\x0B attacks
blk:game1:8:87	\x0B triggers
blk:game1:8:88	\x0B discharges a burst
blk:game1:8:89	Sub-atomic particles burst from \x0B
blk:game1:8:90	\x0B fires full auto
blk:game1:8:91	\x0B chucks an explosive charge
blk:game1:8:92	\x0B lauches a shell
blk:game1:8:93	hits \x0F 
blk:game1:8:94	 for 
blk:game1:8:95	hits \x0F 
blk:game1:8:96	\x0F 
blk:game1:8:97	 \x0Ais\x0Aare\x0A raked in a crossfire of bullets for 
blk:game1:8:98	bores through \x0F 
blk:game1:8:99	tears a jagged rent in \x0F 
blk:game1:8:100	inflames \x0F 
blk:game1:8:101	 but fail\x0As\x0A\x0A to inflict any damage
blk:game1:8:102	 drills 
blk:game1:8:103	 blazes away at 
blk:game1:8:104	 sprays 
blk:game1:8:105	 triggers a burst at 
blk:game1:8:106	 fries 
blk:game1:8:107	 toasts 
blk:game1:8:108	 and hits for 
blk:game1:8:109	 beat\x0As\x0A\x0A 
blk:game1:8:110	 hammer\x0As\x0A\x0A 
blk:game1:8:111	 thrashes 
blk:game1:8:112	 mauls 
blk:game1:8:113	 whomps on 
blk:game1:8:114	 pounds at 
blk:game1:8:115	 and rips \x0Ehim\x0Eher\x0Eit\x0E to shreds
blk:game1:8:116	 and shreds \x0Ehim\x0Eher\x0Eit\x0E
blk:game1:8:117	 spinning \x0A\x0Ehim\x0Eher\x0Eit\x0E\x0A\x0F of them\x0A into a dance of death
blk:game1:8:118	 reducing \x0A\x0Ehim\x0Eher\x0Eit\x0E\x0A\x0F of them\x0A to a thin red paste
blk:game1:9:1	1
blk:game1:9:2	2
blk:game1:9:3	3
blk:game1:9:4	4
blk:game1:9:5	5
blk:game1:9:6	6
blk:game1:9:7	\x0DA heavy wooden door, reinforced with steel, defies you to open it.\x0D
blk:game1:9:8	\x0DThe door is open.\x0D
blk:game1:9:9	\x0DYou scratched the door, but it still defies you.\x0D
blk:game1:9:10	\x0DThere seems to be a dead body here.\x0D
blk:game1:9:11	\x0DA high wall made of adobe with several black scorch marks stands here. Barbed wire lines the top.\x0D
blk:game1:9:12	\x0DThere is an unoccupied flamethrower at the top of  the wall.\x0D
blk:game1:9:13	\x0DThe wall here is a mosaic of heating coils.\x0D
blk:game1:9:14	\x0DA large satellite tracking dish, aimed to the north. The white metal struts and plates shine as if they were new.\x0D
blk:game1:9:15	\x0DThis is the aluminum wall of the sales booth.\x0D
blk:game1:9:16	\x0DA wall of steel with the faint outline of a door in the center. A crudely written sign reads: ROOT CELLAR.\x0D
blk:game1:9:17	\x0DTall trees filled with oranges and lemons the size of basketballs. The air is heavy with the scent of citrus.\x0D
blk:game1:9:18	\x0DTrees bursting with grapefruit 5 feet wide.\x0D
blk:game1:9:19	\x0DTen foot long bananas. The locals use hardened banana peels as canoes on the river.\x0D
blk:game1:9:20	\x0DUnusually hairy peaches, much larger than normal.\x0D
blk:game1:9:21	\x0DFour foot tall pears, pleasingly plump, perfectly prepared possibly, to plummet perilously from their precarious perches and pummel any passing pedestrian to a pasty, putrid, pulp.\x0D
blk:game1:9:22	\x07Agricultural Station general store.\x0D
blk:game1:9:23	\x0DHundreds of six foot tall strawberries surround you.\x0D
blk:game1:9:24	\x0DThree foot tall grapes seem to be everywhere.\x0D
blk:game1:9:25	\x0DGiant tomatoes, hopefully not of the killer variety.\x0D
blk:game1:9:26	\x0DBig Beans.\x0D
blk:game1:9:27	\x0DWheat. A lot of it.\x0D
blk:game1:9:28	\x0DEars of corn, eight feet high.\x0D
blk:game1:9:29	\x0DPineapples in the large economy size, 15 feet tall.\x0D
blk:game1:9:30	\x0DYou have entered a green Sequoia Broccoli Forest. The 30 foot tall stalks tower over your puny human body.\x0D
blk:game1:9:31	\x0DPeas the size of bowling balls lie on the ground in pods.\x0D
blk:game1:9:32	\x0DSpuds. Freshly unearthed potatoes watch you with their eyes.\x0D
blk:game1:9:33	\x0DCarrots lay here. The 15 foot tall targets of long-eared varmints.\x0D
blk:game1:9:34	\x0DOutside the sales booth, a group of ten men with axes, hoes, rakes, and shovels, shake their heads with despair.\x0D
blk:game1:9:35	\x0DA catapult aimed at the north wall.\x0D
blk:game1:9:36	\x0DA catapult aimed at the south wall.\x0D
blk:game1:9:37	\x0DThe Old Man nods and leads you to Veggie Center, communal living quarters of the Veggies, where he smiles and leaves.\x0D
blk:game1:9:38	\x0DThe sales booth is closed today on account of varmint attacks.\x0D
blk:game1:9:39	\x0DRead paragraph 56.\x0D
blk:game1:9:40	\x0DEntering the Agricultural Station general store.\x0D
blk:game1:9:41	What do you say?\x0D\x0D\x11\x101) Offer to help\x0D\x102) Ask about payment\x0D\x103) Just passing through\x0D
blk:game1:9:42	\x0DMiguel looks unhappy, nods, and walks away. The other men also seem to understand your reluctance.\x0D
blk:game1:9:43	\x0DYou see something and duck just in time to avoid a huge tomato thrown by a small boy.\x0D
blk:game1:9:44	\x0DYou see something and turn just in time to stop a rock with your forehead. Miguel yells at a small boy.\x0D
blk:game1:9:45	Do you seek revenge (Y/N)?\x0D\x0D\x11\x10Yes\x0D\x10No\x0D
blk:game1:9:46	\x0DMiguel is pleased. The other farmers smile and thank you. They lead you to the vegetable field.\x0D
blk:game1:9:47	\x0DYou descend down a dark tunnel.\x0D
blk:game1:9:48	\x0DPay? The farmers look at each other, then dig through their pockets and offer you several bits of colored glass and some shiny pieces of aluminum. Seeing the confused look on your face, Miguel says they will also give you food.\x0D
blk:game1:9:49	\x0DYou reach for your weapon. The men move away. You note that a flamethrower is pointed at you. You change your mind.\x0D
blk:game1:9:50	\x0DRead paragraph 84.\x0D
blk:game1:9:51	\x0DA large farmer is walking around among the green leaves of this carrot patch. Sensing your approach, he stops moving and watches you with his ominous eyes, filled with hatred for you and your kind. This is Harry, the Bunny Master.\x0D
blk:game1:9:52	\x0DThe Old Man is pleased to see that you have killed Harry. His destruction will demoralize the remaining varmints. A holiday will be declared in your honor. Farmers cheer nearby. Murdering the cute little animals has rescued their major food supply.\x0D
blk:game1:9:53	The Old man asks, "Do you want to see my Root Cellar?"\x0D\x0D\x11\x10Yes\x0D\x10No\x0D
blk:game1:9:54	\x0DYou hear a whistling noise overhead. It is getting louder.\x0D
blk:game1:9:55	\x0DYou barely manage to jump aside as a giant rotten tomato explodes onto the ground, showering you with juice.\x0D
blk:game1:9:56	You look up just in time to see a giant rotten tomato come down on top of you. Now you lie in a pool of tomato juice.\x0D
blk:game1:9:57	\x0DYou leap sideways, barely avoiding a giant pineapple that plows deeply into the ground where you were standing.\x0D
blk:game1:9:58	You look up as a giant banana peel slaps you to the ground.\x0D
blk:game1:9:59	Armored, long-eared, pink and white lumps of fur are hopping around here. A wall of pink eyes pops up in front of you.\x0D
blk:game1:9:60	Many holes surrounded by packed earth. An armored sentinel with brown fur spots you and barks an alarm.\x0D
blk:game1:9:61	Three foot tall black rats race toward you with gleaming eyes and razor-sharp teeth.\x0D
blk:game1:9:62	At your approach, opossums mass for an attack and waddle toward you.\x0D
blk:game1:9:63	Your sharp senses detect the movement of a large white object moving among the thick stalks of wheat!\x0D
blk:game1:9:64	You see what look like large chunks of the ground leaping toward you.\x0D
blk:game1:9:65	Something just moved in the field.\x0D
blk:game1:9:66	You see a large man.\x0D
blk:game1:9:67	Y
blk:game1:9:68	N
blk:game1:9:69	\x0B attacks
blk:game1:9:70	\x0B fires
blk:game1:9:71	\x0B discharges a burst
blk:game1:9:72	Sub-atomic particles burst from \x0B
blk:game1:9:73	\x0B burns a clip
blk:game1:9:74	\x0B chucks an explosive charge
blk:game1:9:75	\x0B blasts a rocket off
blk:game1:9:76	hits \x0F 
blk:game1:9:77	 for 
blk:game1:9:78	nails \x0F 
blk:game1:9:79	\x0F 
blk:game1:9:80	 \x0Ais\x0Aare\x0A raked in a crossfire of bullets for 
blk:game1:9:81	irradiates \x0F 
blk:game1:9:82	scores a dark chasm in \x0F 
blk:game1:9:83	incinerates \x0F 
blk:game1:9:84	 but fail\x0As\x0A\x0A to inflict any damage
blk:game1:9:85	 drills 
blk:game1:9:86	 blazes away at 
blk:game1:9:87	 sprays 
blk:game1:9:88	 triggers a burst at 
blk:game1:9:89	 fries 
blk:game1:9:90	 toasts 
blk:game1:9:91	 and hits for 
blk:game1:9:92	 brutalize\x0As\x0A\x0A 
blk:game1:9:93	 hammer\x0As\x0A\x0A 
blk:game1:9:94	 thrashes 
blk:game1:9:95	 bashes 
blk:game1:9:96	 bowls into 
blk:game1:9:97	 pounces on 
blk:game1:9:98	 and frags \x0Ehim\x0Eher\x0Eit\x0E
blk:game1:9:99	 and shreds \x0Ehim\x0Eher\x0Eit\x0E
blk:game1:9:100	 blasting \x0A\x0Ehim\x0Eher\x0Eit\x0E\x0A\x0F of them\x0A into ground round
blk:game1:9:101	 exploding \x0A\x0Ehim\x0Eher\x0Eit\x0E\x0A\x0F of them\x0A like a blood sausage
blk:game1:10:1	\x0DThe limestone cliff looms overhead.\x0D
blk:game1:10:2	\x0DThe canyon walls produce strange echoes as the water bubbles down the creek.\x0D
blk:game1:10:3	\x0DA redtailed hawk passes high over you.\x0D
blk:game1:10:4	\x0DBushes cling to the box canyon walls.\x0D
blk:game1:10:5	\x0DThe cliff face is dotted with seashells and wormtracks.\x0D
blk:game1:10:6	\x0DYou can't pass the cliff face.\x0D
blk:game1:10:7	\x0DThe cave wall is slick with moisture.\x0D
blk:game1:10:8	\x0DThe cave walls are damp.\x0D
blk:game1:10:9	\x0DThe creek rushes in under the high cliffs.\x0D
blk:game1:10:10	\x0DYou are in the desert north of the settlement of Highpool.\x0D
blk:game1:10:11	\x0DYou are kneedeep in Highpool Creek. The water is cool but the rocks are slippery.\x0D
blk:game1:10:12	\x0DLeaving Highpool.\x0D
blk:game1:10:13	\x0DYou slip and fall into the water with a splash. Your face burns with embarrassment. You hear children's laughter.\x0D
blk:game1:10:14	\x0DYou easily cross on large stepping stones.\x0D
blk:game1:10:15	Jeering from hiding, mutant kids hold slingshots in their hands.\x0D
blk:game1:10:16	\x0DOddly, you see no bodies, no blood. Neither do you see any children anywhere.\x0D
blk:game1:10:17	\x0DYou hear a giggle behind a shrub. Then softly, "Nyah, nyah, ya missed me, nyah!"\x0D
blk:game1:10:18	\x0DThis is a playground with swings and slides. Bushes are all around.\x0D
blk:game1:10:19	\x0DBushes rustle and a childish voice asks, "Whatsa matter? Can't shoot straight, Ranger?"\x0D
